Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Island,Clutch Completion,Sex,Species
45.4,18.7,188.0,3525.0,8.64701,-24.62717,2,0,1,1
35.2,15.9,186.0,3050.0,8.81668,-25.95399,0,0,1,0
38.2,20.0,190.0,3900.0,9.59245,-25.70711,1,0,0,0
41.5,18.3,195.0,4300.0,8.52566,-26.0245,0,0,0,0
51.9,19.5,206.0,3950.0,0.0,-23.78767,2,0,0,1
46.4,15.6,221.0,5000.0,8.35078,-26.70783,1,0,0,2
49.5,19.0,200.0,3800.0,9.63074,-24.34684,2,1,0,1
46.9,14.6,222.0,4875.0,7.8881,-26.04726,1,0,1,2
41.4,18.5,202.0,3875.0,9.59462,-25.42621,0,0,0,0
50.0,16.3,230.0,5700.0,8.14756,-25.39369,1,0,0,2
35.5,16.2,195.0,3350.0,8.56192,-25.95541,1,0,1,0
47.4,14.6,212.0,4725.0,8.19101,-26.24369,1,0,1,2
39.7,17.7,193.0,3200.0,9.02657,-26.06203,1,0,1,0
42.8,18.5,195.0,4250.0,8.2993,-26.38986,0,0,0,0
46.2,17.5,187.0,3650.0,9.61734,-24.66188,2,0,1,1
40.1,18.9,188.0,4300.0,8.51362,-26.55602,1,0,0,0
39.0,17.5,186.0,3550.0,8.57199,-26.07188,1,0,1,0
42.7,13.7,208.0,3950.0,8.14567,-26.59467,1,1,1,2
45.2,14.8,212.0,5200.0,8.24246,-26.11969,1,0,1,2
52.8,20.0,205.0,4550.0,9.25177,-24.69638,2,0,0,1
46.8,14.3,215.0,4850.0,8.41151,-26.13832,1,0,1,2
39.5,17.4,186.0,3800.0,8.94956,-24.69454,0,0,1,0
45.6,20.3,191.0,4600.0,8.65466,-26.32909,1,0,0,0
37.3,20.5,199.0,3775.0,9.49645,-26.36678,0,0,0,0
51.7,20.3,194.0,3775.0,8.68747,-24.38751,2,0,0,1
50.9,19.1,196.0,3550.0,10.02372,-24.86594,2,0,0,1
35.0,17.9,190.0,3450.0,8.19539,-26.17213,1,0,1,0
39.2,18.6,190.0,4250.0,9.11006,-25.79549,2,0,0,0
46.5,14.5,213.0,4400.0,7.90436,-25.3947,1,0,1,2
43.3,14.0,208.0,4575.0,8.4207,-26.38092,1,0,1,2
